"X","term_name","source","p_value","gene","gene_module","gene_log2FC","padj","M1 immune system process","M2 cytokine production","M3 response to cytokine","M4 PI3K-Akt signaling pathway","M5 regulation of MAPK cascade","M6 nervous system development","M7 regulation of RNA metabolic process","004-A","004-B","004-C","004-185-KD-A","004-185-KD-B","004-185-KD-C","ref_mean","comp_mean"
37,"M3 response to cytokine","GO:BP",0.000176105486992348,"CPNE1","CPNE1_M3",1.07728927408387,0.0064249882890317,0,0,1,0,0,1,0,-0.128786656474187,0.0302930486200168,-0.0578602170146549,0.0136612385806032,0.0327557661542386,0.109936820133969,-0.0521179416229417,0.0521179416229369
40,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"ERBB3","ERBB3_M4",3.06490777485681,2.13730418285295e-05,0,0,0,1,0,1,0,-0.368482228236582,-0.435791323605295,-0.272725552965537,0.439730078479602,0.411853698732192,0.225415327595611,-0.358999701602471,0.358999701602468
41,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"ITGB8","ITGB8_M4",1.68202251050562,2.92209850795987e-05,1,0,0,1,0,0,0,-0.0541033537765809,-0.0526789276210575,-0.0113921590670554,0.0577782222172996,0.0968252754443082,-0.0364290571969139,-0.0393914801548979,0.039391480154898
42,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"FN1","FN1_M4",1.89654278624972,0.000237458541642925,1,1,0,1,1,1,0,-0.000302508303255067,-0.111136500482584,0.00084436298914703,0.0796473092952947,0.0961166440284948,-0.0651693075270963,-0.0368648819322305,0.0368648819322311
45,"M4 PI3K-Akt signaling pathway","KEGG",1.31525780087059e-05,"ITGA1","ITGA1_M4",1.16014957370354,0.0234986950179408,1,0,0,1,1,1,0,0.0821422876260405,-0.12400217577431,-0.227376969302282,0.124812235736864,0.190054554308106,-0.0456299325944194,-0.0897456191501839,0.0897456191501836
49,"M5 regulation of MAPK cascade","GO:BP",0.00935534845600345,"FN1","FN1_M5",1.89654278624972,0.000237458541642925,1,1,0,1,1,1,0,-0.000302508303255067,-0.111136500482584,0.00084436298914703,0.0796473092952947,0.0961166440284948,-0.0651693075270963,-0.0368648819322305,0.0368648819322311
52,"M5 regulation of MAPK cascade","GO:BP",0.00935534845600345,"FOXO1","FOXO1_M5",1.14750122142598,0.0195952451590286,0,0,0,0,1,0,1,-0.557459294187604,-0.29010241100352,-0.237869889506479,0.654427962866078,0.24434376238801,0.186659869443516,-0.361810531565868,0.361810531565868
53,"M5 regulation of MAPK cascade","GO:BP",0.00935534845600345,"ITGA1","ITGA1_M5",1.16014957370354,0.0234986950179408,1,0,0,1,1,1,0,0.0821422876260405,-0.12400217577431,-0.227376969302282,0.124812235736864,0.190054554308106,-0.0456299325944194,-0.0897456191501839,0.0897456191501836
56,"M6 nervous system development","GO:BP",5.08802963855904e-13,"ID3","ID3_M6",3.90844798832457,1.60986913348304e-06,0,0,0,0,0,1,1,-0.2162667370495,0.120588399952515,-0.120510061778455,0.221303338332561,-0.222572144855247,0.217457205398123,-0.0720627996251464,0.0720627996251455
59,"M6 nervous system development","GO:BP",5.08802963855904e-13,"ERBB3","ERBB3_M6",3.06490777485681,2.13730418285295e-05,0,0,0,1,0,1,0,-0.368482228236582,-0.435791323605295,-0.272725552965537,0.439730078479602,0.411853698732192,0.225415327595611,-0.358999701602471,0.358999701602468
63,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDHGA8","PCDHGA8_M6",2.19404119468889,0.000112645074047919,0,0,0,0,0,1,0,-0.124709134598611,-0.327032091962271,-0.0113077358312168,0.323615053941912,0.177294855389913,-0.0378609469397233,-0.154349654130699,0.154349654130701
66,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDHGA5","PCDHGA5_M6",2.11916543212921,0.000180916618743221,0,0,0,0,0,1,0,0.0599798620058571,-0.191005780380391,-0.191040594334349,0.27473454504652,0.00543511943500086,0.0418968482273598,-0.107355504236294,0.107355504236293
67,"M6 nervous system development","GO:BP",5.08802963855904e-13,"FN1","FN1_M6",1.89654278624972,0.000237458541642925,1,1,0,1,1,1,0,-0.000302508303255067,-0.111136500482584,0.00084436298914703,0.0796473092952947,0.0961166440284948,-0.0651693075270963,-0.0368648819322305,0.0368648819322311
69,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDHGA6","PCDHGA6_M6",1.92774625624471,0.000264073635382579,0,0,0,0,0,1,0,-0.158403688127064,-0.277958078010457,0.0485240443755099,0.141466274101642,0.114384487548165,0.131986960112203,-0.129279240587337,0.129279240587337
71,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDHGB3","PCDHGB3_M6",1.76275085018208,0.000686472803671671,0,0,0,0,0,1,0,-0.209178911759202,-0.209178911759202,-0.209178911759202,-0.0068446818649921,0.233660152213917,0.400721264928675,-0.209178911759202,0.2091789117592
73,"M6 nervous system development","GO:BP",5.08802963855904e-13,"ANXA2","ANXA2_M6",1.35242458938101,0.00193734176881244,0,0,0,0,0,1,1,-0.166067412941475,-0.0190849019802251,-0.199191028612875,0.120034580355089,0.158668135292803,0.105640627886698,-0.128114447844858,0.128114447844863
74,"M6 nervous system development","GO:BP",5.08802963855904e-13,"TBX3","TBX3_M6",2.39920244649992,0.00214774713943635,0,0,0,0,0,1,1,-0.0220475826006652,-0.101006150028157,-0.0970921076149995,0.0207614546944601,0.145983442958347,0.0534009425910149,-0.0733819467479406,0.0733819467479406
76,"M6 nervous system development","GO:BP",5.08802963855904e-13,"CPNE1","CPNE1_M6",1.07728927408387,0.0064249882890317,0,0,1,0,0,1,0,-0.128786656474187,0.0302930486200168,-0.0578602170146549,0.0136612385806032,0.0327557661542386,0.109936820133969,-0.0521179416229417,0.0521179416229369
77,"M6 nervous system development","GO:BP",5.08802963855904e-13,"IGF2BP1","IGF2BP1_M6",1.08792041976996,0.0102718078319184,0,1,0,0,0,1,1,-0.175187555416905,-0.35455163764523,-0.135772436893872,0.209593013582232,0.207134246145282,0.248784370228492,-0.221837209985335,0.221837209985335
78,"M6 nervous system development","GO:BP",5.08802963855904e-13,"VCL","VCL_M6",1.10200982514672,0.0150219722244367,0,0,0,0,0,1,0,0.0812981839186353,-0.225090446472953,-0.0918830421278027,0.0703993129234153,0.100504171139329,0.0647718206193719,-0.07855843489404,0.0785584348940388
79,"M6 nervous system development","GO:BP",5.08802963855904e-13,"ZIC2","ZIC2_M6",1.35280711606847,0.0189960865532231,0,0,0,0,0,1,1,-0.0975093846499719,-0.301091487194313,-0.169775498994435,-0.050266217840667,0.21705691056959,0.401585678109796,-0.189458790279573,0.189458790279573
80,"M6 nervous system development","GO:BP",5.08802963855904e-13,"PCDHGB1","PCDHGB1_M6",1.25064988894922,0.0203977906819726,0,0,0,0,0,1,0,-0.0616487896498601,0.0166127036893435,-0.0571559646013471,0.0937292096613511,-0.0617139955340669,0.0701768364345776,-0.0340640168539545,0.034064016853954
81,"M6 nervous system development","GO:BP",5.08802963855904e-13,"ITGA1","ITGA1_M6",1.16014957370354,0.0234986950179408,1,0,0,1,1,1,0,0.0821422876260405,-0.12400217577431,-0.227376969302282,0.124812235736864,0.190054554308106,-0.0456299325944194,-0.0897456191501839,0.0897456191501836
87,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"ID3","ID3_M7",3.90844798832457,1.60986913348304e-06,0,0,0,0,0,1,1,-0.2162667370495,0.120588399952515,-0.120510061778455,0.221303338332561,-0.222572144855247,0.217457205398123,-0.0720627996251464,0.0720627996251455
95,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"ETS1","ETS1_M7",1.92194049274273,0.000877181573139032,1,0,0,0,0,0,1,-0.144166144459449,-0.017978937621737,-0.2637553482968,0.105384852436726,0.284987441853389,0.0355281360878683,-0.141966810125995,0.141966810125994
97,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"ANXA2","ANXA2_M7",1.35242458938101,0.00193734176881244,0,0,0,0,0,1,1,-0.166067412941475,-0.0190849019802251,-0.199191028612875,0.120034580355089,0.158668135292803,0.105640627886698,-0.128114447844858,0.128114447844863
99,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"TBX3","TBX3_M7",2.39920244649992,0.00214774713943635,0,0,0,0,0,1,1,-0.0220475826006652,-0.101006150028157,-0.0970921076149995,0.0207614546944601,0.145983442958347,0.0534009425910149,-0.0733819467479406,0.0733819467479406
101,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"PPP1R13L","PPP1R13L_M7",1.30451039016128,0.00685374108253601,0,0,0,0,0,0,1,-0.218241361301433,0.00242746063200894,-0.138059582703827,0.0929958256062946,0.203294150874456,0.0575835068925006,-0.117957827791084,0.117957827791084
102,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"IGF2BP1","IGF2BP1_M7",1.08792041976996,0.0102718078319184,0,1,0,0,0,1,1,-0.175187555416905,-0.35455163764523,-0.135772436893872,0.209593013582232,0.207134246145282,0.248784370228492,-0.221837209985335,0.221837209985335
104,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"KANK2","KANK2_M7",1.21402884185199,0.0129434386531749,0,0,0,0,0,0,1,-0.151759959619687,0.0763850961330483,-0.0203968635094149,-0.0470918769948607,0.0673050125201051,0.0755585914708039,-0.0319239089986845,0.0319239089986828
105,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"ZIC2","ZIC2_M7",1.35280711606847,0.0189960865532231,0,0,0,0,0,1,1,-0.0975093846499719,-0.301091487194313,-0.169775498994435,-0.050266217840667,0.21705691056959,0.401585678109796,-0.189458790279573,0.189458790279573
106,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"FOXO1","FOXO1_M7",1.14750122142598,0.0195952451590286,0,0,0,0,1,0,1,-0.557459294187604,-0.29010241100352,-0.237869889506479,0.654427962866078,0.24434376238801,0.186659869443516,-0.361810531565868,0.361810531565868
108,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"EPAS1","EPAS1_M7",1.09100448066124,0.032921587095028,1,0,0,0,0,0,1,-0.0739360801552644,0.0277377347808017,-0.217058582770314,0.0306479924660863,0.126498957718002,0.106109977960692,-0.0877523093815924,0.0877523093815936
109,"M7 regulation of RNA metabolic process","GO:BP",0.000300594653874138,"RBM20","RBM20_M7",1.06879634439484,0.047842948848443,0,0,0,0,0,0,1,-0.0590034375426587,-0.171950679859764,0.0830908739972713,0.0147841362918015,-0.0250313993943987,0.158110506507741,-0.0492877478017171,0.0492877478017147
