"","term_name","source","p_value","intersection_gene","gene","gene_log2FC","padj"
"16","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"COMT","COMT_M2",-2.39484530089081,1.08490442487956e-05
"17","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"SNCA","SNCA_M2",-1.11242234724162,1.83605556638571e-05
"18","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"LYNX1","LYNX1_M2",-1.33219012575552,3.14053657554549e-05
"19","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"SLC4A10","SLC4A10_M2",-1.09055271319471,0.000204039184351963
"20","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"FAM107A","FAM107A_M2",-1.26773150123051,0.000474949087604184
"21","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"KCNJ10","KCNJ10_M2",-1.55530387894029,0.00619309858812433
"22","M2 trans-synaptic signaling","GO:BP",3.80899823275861e-16,"GRIA3","GRIA3_M2",-1.2151796424506,0.00883058083435267
"23","M3 synaptic transmission, glutamatergic","GO:BP",9.96081692023264e-09,"GRIN1","GRIN1_M3",-1.5818828790215,5.72938739141557e-09
"24","M3 synaptic transmission, glutamatergic","GO:BP",9.96081692023264e-09,"PLPPR4","PLPPR4_M3",-1.55155659273804,2.50964558568601e-08
"25","M3 synaptic transmission, glutamatergic","GO:BP",9.96081692023264e-09,"GRM5","GRM5_M3",-1.56643876932946,4.56924104225646e-06
"26","M3 synaptic transmission, glutamatergic","GO:BP",9.96081692023264e-09,"GRIA3","GRIA3_M3",-1.2151796424506,0.00883058083435267
"27","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"GRIN1","GRIN1_M4",-1.5818828790215,5.72938739141557e-09
"28","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"GRM5","GRM5_M4",-1.56643876932946,4.56924104225646e-06
"29","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"SNCA","SNCA_M4",-1.11242234724162,1.83605556638571e-05
"30","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"SLC4A10","SLC4A10_M4",-1.09055271319471,0.000204039184351963
"31","M4 regulation of neuronal synaptic plasticity","GO:BP",0.00103814952945778,"KCNJ10","KCNJ10_M4",-1.55530387894029,0.00619309858812433
"32","M5 postsynaptic density","GO:CC",0.00138338906140407,"GRIN1","GRIN1_M5",-1.5818828790215,5.72938739141557e-09
"33","M5 postsynaptic density","GO:CC",0.00138338906140407,"PLPPR4","PLPPR4_M5",-1.55155659273804,2.50964558568601e-08
"34","M5 postsynaptic density","GO:CC",0.00138338906140407,"GRM5","GRM5_M5",-1.56643876932946,4.56924104225646e-06
"35","M5 postsynaptic density","GO:CC",0.00138338906140407,"GRIA3","GRIA3_M5",-1.2151796424506,0.00883058083435267
"36","M6 Neuroactive ligand-receptor interaction","KEGG",6.0005565297327e-22,"GRIN1","GRIN1_M6",-1.5818828790215,5.72938739141557e-09
"37","M6 Neuroactive ligand-receptor interaction","KEGG",6.0005565297327e-22,"GRM5","GRM5_M6",-1.56643876932946,4.56924104225646e-06
"38","M6 Neuroactive ligand-receptor interaction","KEGG",6.0005565297327e-22,"LYNX1","LYNX1_M6",-1.33219012575552,3.14053657554549e-05
"39","M6 Neuroactive ligand-receptor interaction","KEGG",6.0005565297327e-22,"GRIA3","GRIA3_M6",-1.2151796424506,0.00883058083435267
"40","M7 nervous system development","GO:BP",6.11124783815365e-11,"GRIN1","GRIN1_M7",-1.5818828790215,5.72938739141557e-09
"41","M7 nervous system development","GO:BP",6.11124783815365e-11,"PLPPR4","PLPPR4_M7",-1.55155659273804,2.50964558568601e-08
"42","M7 nervous system development","GO:BP",6.11124783815365e-11,"MT3","MT3_M7",-1.08285713470352,2.64254967590694e-06
"43","M7 nervous system development","GO:BP",6.11124783815365e-11,"GRM5","GRM5_M7",-1.56643876932946,4.56924104225646e-06
"44","M7 nervous system development","GO:BP",6.11124783815365e-11,"COMT","COMT_M7",-2.39484530089081,1.08490442487956e-05
"45","M7 nervous system development","GO:BP",6.11124783815365e-11,"SNCA","SNCA_M7",-1.11242234724162,1.83605556638571e-05
"46","M7 nervous system development","GO:BP",6.11124783815365e-11,"SLC4A10","SLC4A10_M7",-1.09055271319471,0.000204039184351963
"47","M7 nervous system development","GO:BP",6.11124783815365e-11,"THY1","THY1_M7",-1.11544596837155,0.000322728756187342
"48","M7 nervous system development","GO:BP",6.11124783815365e-11,"PCDHGB6","PCDHGB6_M7",-1.89425357352402,0.000396566732325018
"49","M7 nervous system development","GO:BP",6.11124783815365e-11,"DLX1","DLX1_M7",-3.91575386143031,0.00289763278039789
"50","M7 nervous system development","GO:BP",6.11124783815365e-11,"KCNJ10","KCNJ10_M7",-1.55530387894029,0.00619309858812433
"51","M7 nervous system development","GO:BP",6.11124783815365e-11,"PLEKHG4","PLEKHG4_M7",-1.36024470665369,0.0109398373679645
"52","M7 nervous system development","GO:BP",6.11124783815365e-11,"PCDHGA9","PCDHGA9_M7",-1.09579282547982,0.0129751629741614
"53","M7 nervous system development","GO:BP",6.11124783815365e-11,"PLXND1","PLXND1_M7",-1.72439502242362,0.0166701052283063
"54","M7 nervous system development","GO:BP",6.11124783815365e-11,"MOBP","MOBP_M7",-2.70317956020268,0.0256435608471051
"55","M7 nervous system development","GO:BP",6.11124783815365e-11,"KCNC2","KCNC2_M7",-1.06718472499188,0.0285478544905688
"56","M8 neurogenesis","GO:BP",1.81301431808331e-06,"PLPPR4","PLPPR4_M8",-1.55155659273804,2.50964558568601e-08
"57","M8 neurogenesis","GO:BP",1.81301431808331e-06,"MT3","MT3_M8",-1.08285713470352,2.64254967590694e-06
"58","M8 neurogenesis","GO:BP",1.81301431808331e-06,"GRM5","GRM5_M8",-1.56643876932946,4.56924104225646e-06
"59","M8 neurogenesis","GO:BP",1.81301431808331e-06,"SLC4A10","SLC4A10_M8",-1.09055271319471,0.000204039184351963
"60","M8 neurogenesis","GO:BP",1.81301431808331e-06,"THY1","THY1_M8",-1.11544596837155,0.000322728756187342
"61","M8 neurogenesis","GO:BP",1.81301431808331e-06,"DLX1","DLX1_M8",-3.91575386143031,0.00289763278039789
"62","M8 neurogenesis","GO:BP",1.81301431808331e-06,"KCNJ10","KCNJ10_M8",-1.55530387894029,0.00619309858812433
"63","M8 neurogenesis","GO:BP",1.81301431808331e-06,"PLEKHG4","PLEKHG4_M8",-1.36024470665369,0.0109398373679645
"64","M8 neurogenesis","GO:BP",1.81301431808331e-06,"PLXND1","PLXND1_M8",-1.72439502242362,0.0166701052283063
"65","M8 neurogenesis","GO:BP",1.81301431808331e-06,"MOBP","MOBP_M8",-2.70317956020268,0.0256435608471051
